timestamp_utc,timestamp_local,bidding_zone,price_eur_mwh,load_actual_mw
2021-11-08T07:30:00+00:00,2021-11-08T08:30:00+01:00,BE,246.89,
2021-11-08T07:30:00+00:00,2021-11-08T08:30:00+01:00,CH,222.15,
2021-11-08T07:30:00+00:00,2021-11-08T08:30:00+01:00,DE-LU,214.08,70371.84
2021-11-08T07:30:00+00:00,2021-11-08T08:30:00+01:00,FR,248.05,65947
2021-11-08T07:30:00+00:00,2021-11-08T08:30:00+01:00,NL,225.02,14759.44
2021-11-08T07:45:00+00:00,2021-11-08T08:45:00+01:00,AT,237.99,
2021-11-08T07:45:00+00:00,2021-11-08T08:45:00+01:00,BE,246.89,
2021-11-08T07:45:00+00:00,2021-11-08T08:45:00+01:00,CH,222.15,
2021-11-08T07:45:00+00:00,2021-11-08T08:45:00+01:00,DE-LU,214.08,70783.91
2021-11-08T07:45:00+00:00,2021-11-08T08:45:00+01:00,FR,248.05,65947
2021-11-08T07:45:00+00:00,2021-11-08T08:45:00+01:00,NL,225.02,14849.31
2021-11-08T08:00:00+00:00,2021-11-08T09:00:00+01:00,AT,229.95,
2021-11-08T08:00:00+00:00,2021-11-08T09:00:00+01:00,BE,241.11,
2021-11-08T08:00:00+00:00,2021-11-08T09:00:00+01:00,CH,219.13,
2021-11-08T08:00:00+00:00,2021-11-08T09:00:00+01:00,DE-LU,199.95,71485.99
2021-11-08T08:00:00+00:00,2021-11-08T09:00:00+01:00,FR,242.55,66181
2021-11-08T08:00:00+00:00,2021-11-08T09:00:00+01:00,NL,213.68,14865.19
2021-11-08T08:15:00+00:00,2021-11-08T09:15:00+01:00,AT,229.95,
2021-11-08T08:15:00+00:00,2021-11-08T09:15:00+01:00,BE,241.11,
2021-11-08T08:15:00+00:00,2021-11-08T09:15:00+01:00,CH,219.13,
2021-11-08T08:15:00+00:00,2021-11-08T09:15:00+01:00,DE-LU,199.95,71714.11
2021-11-08T08:15:00+00:00,2021-11-08T09:15:00+01:00,FR,242.55,66181
2021-11-08T08:15:00+00:00,2021-11-08T09:15:00+01:00,NL,213.68,14879.75
2021-11-08T08:30:00+00:00,2021-11-08T09:30:00+01:00,AT,229.95,
2021-11-08T08:30:00+00:00,2021-11-08T09:30:00+01:00,BE,241.11,
2021-11-08T08:30:00+00:00,2021-11-08T09:30:00+01:00,CH,219.13,
2021-11-08T08:30:00+00:00,2021-11-08T09:30:00+01:00,DE-LU,199.95,71549.11
2021-11-08T08:30:00+00:00,2021-11-08T09:30:00+01:00,FR,242.55,66181
2021-11-08T08:30:00+00:00,2021-11-08T09:30:00+01:00,NL,213.68,14823.32
2021-11-08T08:45:00+00:00,2021-11-08T09:45:00+01:00,AT,229.95,
2021-11-08T08:45:00+00:00,2021-11-08T09:45:00+01:00,BE,241.11,
2021-11-08T08:45:00+00:00,2021-11-08T09:45:00+01:00,CH,219.13,
2021-11-08T08:45:00+00:00,2021-11-08T09:45:00+01:00,DE-LU,199.95,71944.7
2021-11-08T08:45:00+00:00,2021-11-08T09:45:00+01:00,FR,242.55,66181
2021-11-08T08:45:00+00:00,2021-11-08T09:45:00+01:00,NL,213.68,14703.73
2021-11-08T09:00:00+00:00,2021-11-08T10:00:00+01:00,AT,217.99,
2021-11-08T09:00:00+00:00,2021-11-08T10:00:00+01:00,BE,221.28,
2021-11-08T09:00:00+00:00,2021-11-08T10:00:00+01:00,CH,214.16,
2021-11-08T09:00:00+00:00,2021-11-08T10:00:00+01:00,DE-LU,190.17,71900.25
2021-11-08T09:00:00+00:00,2021-11-08T10:00:00+01:00,FR,225.69,65153
2021-11-08T09:00:00+00:00,2021-11-08T10:00:00+01:00,NL,197.13,14551.57
2021-11-08T09:15:00+00:00,2021-11-08T10:15:00+01:00,AT,217.99,
2021-11-08T09:15:00+00:00,2021-11-08T10:15:00+01:00,BE,221.28,
2021-11-08T09:15:00+00:00,2021-11-08T10:15:00+01:00,CH,214.16,
2021-11-08T09:15:00+00:00,2021-11-08T10:15:00+01:00,DE-LU,190.17,71750.28
2021-11-08T09:15:00+00:00,2021-11-08T10:15:00+01:00,FR,225.69,65153
2021-11-08T09:15:00+00:00,2021-11-08T10:15:00+01:00,NL,197.13,14247.23
2021-11-08T09:30:00+00:00,2021-11-08T10:30:00+01:00,AT,217.99,
