debs_symbol,yahoo_ticker,exchange,resolved_via,shortName,longName,sector,industry,country,city,currency,quoteType,marketCap,fullTimeEmployees,website,isin_yf
522877.ETR,OBS.DE,ETR,isin,ORBIS SE                      I,ORBIS AG,Technology,Information Technology Services,Germany,Saarbrücken,EUR,EQUITY,45643276.0,900.0,https://www.orbis.de,DE0005228779
522950.ETR,BIJ.DE,ETR,isin,BIJOU BRIGITTE MOD. ACCESS. AGI,Bijou Brigitte modische Accessoires Aktiengesellschaft,Consumer Cyclical,Luxury Goods,Germany,Hamburg,EUR,EQUITY,358176192.0,3588.0,https://www.group.bijou-brigitte.com,DE0005229504
523280.ETR,BDT.F,ETR,isin,BERTRANDT AG                  I,Bertrandt Aktiengesellschaft,Consumer Cyclical,Auto Parts,Germany,Ehningen,EUR,EQUITY,84887544.0,11744.0,https://www.bertrandt.com,DE0005232805
531350.ETR,EKT.DE,ETR,isin,ENERGIEKONTOR AG              I,Energiekontor AG,Utilities,Utilities - Renewable,Germany,Bremen,EUR,EQUITY,476499424.0,260.0,https://www.energiekontor.de,DE0005313506
531370.ETR,AFX.DE,ETR,isin,Carl Zeiss Meditec AG         I,Carl Zeiss Meditec AG,Healthcare,Medical Instruments & Supplies,Germany,Jena,EUR,EQUITY,2461514752.0,5798.0,https://www.zeiss.com/meditec-ag/de/investor-relations.html?vaURL=www.zeiss.de/meditec-ag/ir,DE0005313704
540390.ETR,CWC.DE,ETR,isin,CEWE Stiftung & Co. KGaA      I,CEWE Stiftung & Co. KGaA,Consumer Cyclical,Personal Services,Germany,Oldenburg,EUR,EQUITY,661532288.0,4422.0,https://www.cewe.de,DE0005403901
540710.ETR,CSH.DE,ETR,isin,CENIT AG                      I,CENIT Aktiengesellschaft,Technology,Software - Application,Germany,Stuttgart,EUR,EQUITY,60080500.0,901.0,https://www.cenit.com,DE0005407100
540740.ETR,CEK.F,ETR,isin,CEOTRONICS AG                 I,CeoTronics AG,Technology,Communication Equipment,Germany,Rödermark,EUR,EQUITY,82832400.0,138.0,https://ceotronics.com,DE0005407407
540868.ETR,VVV3.DE,ETR,isin,KOWORLD AG                   Na,Ökoworld AG,Financial Services,Financial Conglomerates,Germany,Hilden,EUR,EQUITY,175413680.0,65.0,https://www.oekoworld.com,DE0005408686
541867.ETR,JBLU,ETR,isin,JetBlue Airways Corporation,JetBlue Airways Corporation,Industrials,Airlines,United States,Long Island City,USD,EQUITY,2020062464.0,19447.0,https://www.jetblue.com,US4771431016
541910.ETR,COK.DE,ETR,isin,CANCOM SE                     I,Cancom SE,Technology,Information Technology Services,Germany,Munich,EUR,EQUITY,711307648.0,5234.0,https://www.cancom.de,DE0005419105
543900.ETR,CON.DE,ETR,isin,CONTINENTAL AG                I,Continental Aktiengesellschaft,Consumer Cyclical,Auto Parts,Germany,Hanover,EUR,EQUITY,14352430080.0,22076.0,https://www.continental.com,DE0005439004
547030.ETR,EVD.DE,ETR,isin,CTS Eventim AG & Co. KGaA     I,CTS Eventim AG & Co. KGaA,Communication Services,Entertainment,Germany,Hamburg,EUR,EQUITY,5812273152.0,5057.0,https://corporate.eventim.de,DE0005470306
547040.ETR,LXS.DE,ETR,isin,LANXESS AG                    I,LANXESS Aktiengesellschaft,Basic Materials,Specialty Chemicals,Germany,Cologne,EUR,EQUITY,1324552320.0,11630.0,https://lanxess.com,DE0005470405
548956.ETR,ULC.DE,ETR,isin,UNITED LABELS AG              I,UNITEDLABELS Aktiengesellschaft,Consumer Cyclical,Leisure,Germany,Münster,EUR,EQUITY,6583500.0,36.0,https://www.unitedlabels.com,DE0005489561
549293.ETR,MZX.DE,ETR,isin,Masterflex SE                 I,Masterflex SE,Basic Materials,Specialty Chemicals,Germany,Gelsenkirchen,EUR,EQUITY,133694840.0,608.0,https://www.masterflexgroup.com,DE0005492938
549309.ETR,BVB.DE,ETR,isin,BORUSSIA DORTMUND GMBH&CO.KGAAI,Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien,Communication Services,Entertainment,Germany,Dortmund,EUR,EQUITY,338306496.0,1057.0,https://aktie.bvb.de,DE0005493092
549336.ETR,HYQ.DE,ETR,isin,Hypoport SE                   N,Hypoport SE,Financial Services,Credit Services,Germany,Berlin,EUR,EQUITY,559996992.0,2201.0,https://www.hypoport.com,DE0005493365
549532.ETR,HOC.HM,ETR,isin,HolidayCheck Group AG         I,HolidayCheck Group AG,,,,,EUR,EQUITY,373996160.0,,,DE0005495329
549562.ETR,GME.DE,ETR,isin,GERATHERM MEDICAL AG          I,Geratherm Medical AG,Healthcare,Medical Devices,Germany,Geschwenda,EUR,EQUITY,14341657.0,151.0,https://www.geratherm.com,DE0005495626
549890.ETR,DAM.DE,ETR,isin,DATA MODUL AG PROD.U.V.V.E.S. I,DATA MODUL Aktiengesellschaft Produktion und Vertrieb von elektronischen Systemen,Technology,Electronic Components,Germany,Munich,EUR,EQUITY,98733096.0,518.0,https://www.data-modul.com,DE0005498901
552484.ETR,NFLX,ETR,isin,"Netflix, Inc.","Netflix, Inc.",Communication Services,Entertainment,United States,Los Gatos,USD,EQUITY,293141348352.0,16000.0,https://www.netflix.com,US64110L1061
553340.ETR,DGR.DE,ETR,isin,DT. GRUNDSTUECKSAUKTIONEN AG  I,Deutsche Grundstücksauktionen AG,Real Estate,Real Estate Services,Germany,Berlin,EUR,EQUITY,8480000.0,12.0,https://www.dga-ag.de,DE0005533400
554550.ETR,1U1.DE,ETR,isin,1&1 AG                        I,1&1 AG,Communication Services,Telecom Services,Germany,Montabaur,EUR,EQUITY,3653881088.0,4645.0,https://www.1und1.ag,DE0005545503
555060.ETR,DRW8.DE,ETR,isin,DRAEGERWERK ST.A.O.N.,Drägerwerk AG & Co. KGaA,Healthcare,Medical Devices,Germany,Lübeck,EUR,EQUITY,1452024064.0,16033.0,https://www.draeger.com,DE0005550602
