filing_id,lei,company_name,country,period_end,date_added,json_url,package_url,error_count
969500GMPWNUM7HCZ452-2020-12-31-ESEF-FR-0,969500GMPWNUM7HCZ452,GAUMONT,FR,2020-12-31,2021-05-18 00:00:00,https://filings.xbrl.org/969500GMPWNUM7HCZ452/2020-12-31/ESEF/FR/0/gaumont-2020-12-31AR.json,https://filings.xbrl.org/969500GMPWNUM7HCZ452/2020-12-31/ESEF/FR/0/gaumont-2020-12-31AR.zip,0
969500GMPWNUM7HCZ452-2021-12-31-ESEF-FR-0,969500GMPWNUM7HCZ452,GAUMONT,FR,2021-12-31,2022-04-21 00:00:00,https://filings.xbrl.org/969500GMPWNUM7HCZ452/2021-12-31/ESEF/FR/0/gaumont-2021-12-31-fr.json,https://filings.xbrl.org/969500GMPWNUM7HCZ452/2021-12-31/ESEF/FR/0/gaumont-2021-12-31-fr.zip,0
969500GMPWNUM7HCZ452-2022-12-31-ESEF-FR-0,969500GMPWNUM7HCZ452,GAUMONT,FR,2022-12-31,2023-04-20 11:09:17.783554,https://filings.xbrl.org/969500GMPWNUM7HCZ452/2022-12-31/ESEF/FR/0/gaumont-2022-12-31-fr.json,https://filings.xbrl.org/969500GMPWNUM7HCZ452/2022-12-31/ESEF/FR/0/gaumont-2022-12-31-fr.zip,0
969500GSN25I3B3X6F94-2022-03-31-ESEF-FR-0,969500GSN25I3B3X6F94,WAVESTONE,FR,2022-03-31,2022-07-19 00:00:00,https://filings.xbrl.org/969500GSN25I3B3X6F94/2022-03-31/ESEF/FR/0/wavestone-2022-03-31-fr.json,https://filings.xbrl.org/969500GSN25I3B3X6F94/2022-03-31/ESEF/FR/0/wavestone-2022-03-31-fr.zip,0
969500HIUWVGY6NZSM05-2021-12-31-ESEF-FR-0,969500HIUWVGY6NZSM05,OSE IMMUNOTHERAPEUTICS,FR,2021-12-31,2022-04-21 00:00:00,https://filings.xbrl.org/969500HIUWVGY6NZSM05/2021-12-31/ESEF/FR/0/ose-2021-12-31-fr.json,https://filings.xbrl.org/969500HIUWVGY6NZSM05/2021-12-31/ESEF/FR/0/ose-2021-12-31-fr.zip,0
969500HZ36JO2ODTSW29-2020-12-31-ESEF-FR-0,969500HZ36JO2ODTSW29,ITESOFT,FR,2020-12-31,2022-03-23 00:00:00,https://filings.xbrl.org/969500HZ36JO2ODTSW29/2020-12-31/ESEF/FR/0/itesoft-2020-12-31AR.json,https://filings.xbrl.org/969500HZ36JO2ODTSW29/2020-12-31/ESEF/FR/0/itesoft-2020-12-31AR.zip,0
969500HZ36JO2ODTSW29-2021-12-31-ESEF-FR-0,969500HZ36JO2ODTSW29,ITESOFT,FR,2021-12-31,2022-04-21 00:00:00,https://filings.xbrl.org/969500HZ36JO2ODTSW29/2021-12-31/ESEF/FR/0/ITESOFT-2021-12-31-fr.json,https://filings.xbrl.org/969500HZ36JO2ODTSW29/2021-12-31/ESEF/FR/0/ITESOFT-2021-12-31-fr.zip,0
969500HZ36JO2ODTSW29-2022-12-31-ESEF-FR-0,969500HZ36JO2ODTSW29,ITESOFT,FR,2022-12-31,2023-05-02 12:22:55.561137,https://filings.xbrl.org/969500HZ36JO2ODTSW29/2022-12-31/ESEF/FR/0/itesoft-2022-12-31-fr.json,https://filings.xbrl.org/969500HZ36JO2ODTSW29/2022-12-31/ESEF/FR/0/itesoft-2022-12-31-fr.zip,0
969500I1EJGUAT223F44-2022-06-30-ESEF-FR-0,969500I1EJGUAT223F44,RAMSAY GENERALE DE SANTE,FR,2022-06-30,2022-11-17 00:00:00,https://filings.xbrl.org/969500I1EJGUAT223F44/2022-06-30/ESEF/FR/0/ramsaysante-2022-06-30-fr.json,https://filings.xbrl.org/969500I1EJGUAT223F44/2022-06-30/ESEF/FR/0/ramsaysante-2022-06-30-fr.zip,0
969500I7C8V1LBIMSM05-2021-03-31-ESEF-FR-0,969500I7C8V1LBIMSM05,UBISOFT ENTERTAINMENT,FR,2021-03-31,2022-03-23 00:00:00,https://filings.xbrl.org/969500I7C8V1LBIMSM05/2021-03-31/ESEF/FR/0/ubisoft-2021-03-31AR.json,https://filings.xbrl.org/969500I7C8V1LBIMSM05/2021-03-31/ESEF/FR/0/ubisoft-2021-03-31AR.zip,0
